"FIPS","county_area_sq_mi"
"13205",512.09
"13207",395.66
"13209",239.52
"13211",347.35
"13213",344.47
"13215",216.39
"13217",272.16
"13219",184.29
"13221",439.01
"13223",312.22
"13225",150.27
"13227",232.06
"13229",316.49
"13231",216.09
"13233",310.33
"13235",249.03
"13237",344.64
"13239",151.24
"13241",369.99
"13243",428.24
"13245",324.33
"13247",129.79
"13249",166.91
"13251",645.1
"13253",235.23
"13255",196.47
"13257",179.13
"13259",458.73
"13261",482.7
"13263",391.39
"13265",194.61
"13267",479.4
"13269",376.69
"13271",437.3
"13273",335.44
"13275",544.6
"13277",258.92
"13279",364.01
"13281",166.56
"13283",199.44
"13285",413.99
"13287",285.39
"13289",358.4
"13291",321.93
"13293",323.44
"13295",446.38
"13297",325.68
"13299",892.46
"13301",284.3
"13303",678.45
"13305",641.78
"13307",209.12
"13309",295.48
"13311",240.69
"13313",290.46
"13315",377.71
"13317",469.49
"13319",447.31
"13321",570.7
"15000",6422.63
"15001",4028.42
"15003",600.74
"15005",11.99
"15007",619.96
"15009",1161.52
"16000",82643.12
"16001",1052.58
"16003",1363.06
"16005",1111.99
"16007",974.79
"16009",776.62
"16011",2093.98
"16013",2643.59
"16015",1899.24
"16017",1734.57
"16019",1866.08
"16021",1268.56
"16023",2231.67
"16025",1074.49
"16027",587.37
"16029",1764.15
"16031",2565.08
"16033",1764.19
"16035",2457.27
"16037",4920.94
"16039",3074.74
"16041",663.65
"16043",1863.53
"16045",560.9
"16047",728.97
"16049",8477.35
"16051",1093.5
"16053",597.19
"16055",1244.13
"16057",1076
"16059",4563.39
"16061",478.8
"16063",1201.41
"16065",469.21
"16067",757.59
"16069",848.09
"16071",1200.06
"16073",7665.51
"16075",406.87
"16077",1404.24
"16079",2629.67
"16081",449.46
"16083",1921.21
